@relation FuncionCuadratica

@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute varObjetivo1 numeric

@data
20.5,2.5,300.830414
20.5,3,305.900482
20.5,3.5,307.945099
20.5,4,377.120239
21,1,275.568024
21,1.5,275.818115
21,2,271.758942
21,2.5,272.267365
21,3,280.529877
21,3.5,279.976288
21,4,339.04599
21.5,1,274.901306
21.5,1.5,275.570862
21.5,2,272.649994
21.5,2.5,273.171875
21.5,3,282.078064
21.5,3.5,279.866486
21.5,4,331.360718
22,1,252.605148
22,1.5,252.415894
22,2,247.826569
22,2.5,249.386612
22,3,258.308777
22,3.5,260.729706
22,4,311.622772
22.5,1,252.46344
22.5,1.5,252.465988
22.5,2,250.467194
22.5,2.5,248.538879
22.5,3,256.9646
22.5,3.5,258.255981
22.5,4,309.304321
23,1,232.597855
23,1.5,232.819824
23,2,231.950882
23,2.5,231.143051
23,3,237.755478
23,3.5,238.632538
23,4,282.674835
